soc_code,soc_code_long,occupation,job_zone,slug,Data-level
11-3121,11-3121.00,Human Resources Managers,4,human-resources-managers,Y
13-1071,13-1071.00,Human Resources Specialists,4,human-resources-specialists,Y
51-8013,51-8013.04,Hydroelectric Plant Technicians,3,hydroelectric-plant-technicians,Y
11-3051,11-3051.06,Hydroelectric Production Managers,3,hydroelectric-production-managers,Y
19-4044,19-4044.00,Hydrologic Technicians,3,hydrologic-technicians,Y
19-2043,19-2043.00,Hydrologists,5,hydrologists,Y
19-2041,19-2041.03,Industrial Ecologists,5,industrial-ecologists,Y
17-3026,17-3026.00,Industrial Engineering Technologists and Technicians,3,industrial-engineering-technologists-and-technicians,Y
17-2112,17-2112.00,Industrial Engineers,4,industrial-engineers,Y
49-9041,49-9041.00,Industrial Machinery Mechanics,3,industrial-machinery-mechanics,Y
11-3051,11-3051.00,Industrial Production Managers,4,industrial-production-managers,Y
53-7051,53-7051.00,Industrial Truck and Tractor Operators,2,industrial-truck-and-tractor-operators,Y
19-3032,19-3032.00,Industrial-Organizational Psychologists,5,industrial-organizational-psychologists,Y
55-3016,55-3016.00,Infantry,,infantry,
55-1016,55-1016.00,Infantry Officers,,infantry-officers,
43-4199,43-4199.00,"Information and Record Clerks, All Other",,information-and-record-clerks-all-other,
15-1212,15-1212.00,Information Security Analysts,4,information-security-analysts,Y
15-1299,15-1299.05,Information Security Engineers,4,information-security-engineers,Y
15-1299,15-1299.09,Information Technology Project Managers,4,information-technology-project-managers,Y
51-9061,51-9061.00,"Inspectors, Testers, Sorters, Samplers, and Weighers",2,inspectors-testers-sorters-samplers-and-weighers,Y
49-9099,49-9099.00,"Installation, Maintenance, and Repair Workers, All Other",,installation-maintenance-and-repair-workers-all-other,
25-9031,25-9031.00,Instructional Coordinators,5,instructional-coordinators,Y
47-2131,47-2131.00,"Insulation Workers, Floor, Ceiling, and Wall",2,insulation-workers-floor-ceiling-and-wall,Y
47-2132,47-2132.00,"Insulation Workers, Mechanical",2,insulation-workers-mechanical,Y
13-1032,13-1032.00,"Insurance Appraisers, Auto Damage",3,insurance-appraisers-auto-damage,Y
43-9041,43-9041.00,Insurance Claims and Policy Processing Clerks,2,insurance-claims-and-policy-processing-clerks,Y
41-3021,41-3021.00,Insurance Sales Agents,4,insurance-sales-agents,Y
13-2053,13-2053.00,Insurance Underwriters,4,insurance-underwriters,Y
33-3021,33-3021.06,Intelligence Analysts,4,intelligence-analysts,Y
27-1025,27-1025.00,Interior Designers,4,interior-designers,Y
27-3091,27-3091.00,Interpreters and Translators,4,interpreters-and-translators,Y
43-4111,43-4111.00,"Interviewers, Except Eligibility and Loan",3,interviewers-except-eligibility-and-loan,Y
11-3031,11-3031.03,Investment Fund Managers,5,investment-fund-managers,Y
37-2011,37-2011.00,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",3,janitors-and-cleaners-except-maids-and-housekeeping-cleaners,Y
51-9071,51-9071.00,Jewelers and Precious Stone and Metal Workers,3,jewelers-and-precious-stone-and-metal-workers,Y
23-1023,23-1023.00,"Judges, Magistrate Judges, and Magistrates",5,judges-magistrate-judges-and-magistrates,Y
23-1012,23-1012.00,Judicial Law Clerks,5,judicial-law-clerks,Y
25-2012,25-2012.00,"Kindergarten Teachers, Except Special Education",4,kindergarten-teachers-except-special-education,Y
13-1075,13-1075.00,Labor Relations Specialists,4,labor-relations-specialists,Y
53-7062,53-7062.00,"Laborers and Freight, Stock, and Material Movers, Hand",2,laborers-and-freight-stock-and-material-movers-hand,Y
17-1012,17-1012.00,Landscape Architects,4,landscape-architects,Y
37-3011,37-3011.00,Landscaping and Groundskeeping Workers,1,landscaping-and-groundskeeping-workers,Y
51-4034,51-4034.00,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",2,lathe-and-turning-machine-tool-setters-operators-and-tenders-metal-and-plastic,Y
51-6011,51-6011.00,Laundry and Dry-Cleaning Workers,1,laundry-and-dry-cleaning-workers,Y
25-1112,25-1112.00,"Law Teachers, Postsecondary",5,law-teachers-postsecondary,Y
23-1011,23-1011.00,Lawyers,5,lawyers,Y
51-4192,51-4192.00,"Layout Workers, Metal and Plastic",2,layout-workers-metal-and-plastic,Y
43-6012,43-6012.00,Legal Secretaries and Administrative Assistants,3,legal-secretaries-and-administrative-assistants,Y
23-2099,23-2099.00,"Legal Support Workers, All Other",,legal-support-workers-all-other,
11-1031,11-1031.00,Legislators,4,legislators,Y
25-4022,25-4022.00,Librarians and Media Collections Specialists,5,librarians-and-media-collections-specialists,Y
43-4121,43-4121.00,"Library Assistants, Clerical",2,library-assistants-clerical,Y
25-1082,25-1082.00,"Library Science Teachers, Postsecondary",5,library-science-teachers-postsecondary,Y
25-4031,25-4031.00,Library Technicians,3,library-technicians,Y
29-2061,29-2061.00,Licensed Practical and Licensed Vocational Nurses,3,licensed-practical-and-licensed-vocational-nurses,Y
19-1099,19-1099.00,"Life Scientists, All Other",,life-scientists-all-other,
19-4099,19-4099.00,"Life, Physical, and Social Science Technicians, All Other",,life-physical-and-social-science-technicians-all-other,
33-9092,33-9092.00,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",2,lifeguards-ski-patrol-and-other-recreational-protective-service-workers,Y
53-3033,53-3033.00,Light Truck Drivers,2,light-truck-drivers,Y
27-4015,27-4015.00,Lighting Technicians,3,lighting-technicians,Y
47-5044,47-5044.00,"Loading and Moving Machine Operators, Underground Mining",2,loading-and-moving-machine-operators-underground-mining,Y
43-4131,43-4131.00,Loan Interviewers and Clerks,3,loan-interviewers-and-clerks,Y
13-2072,13-2072.00,Loan Officers,4,loan-officers,Y
39-3093,39-3093.00,"Locker Room, Coatroom, and Dressing Room Attendants",2,locker-room-coatroom-and-dressing-room-attendants,Y
49-9094,49-9094.00,Locksmiths and Safe Repairers,2,locksmiths-and-safe-repairers,Y
53-4011,53-4011.00,Locomotive Engineers,2,locomotive-engineers,Y
11-9081,11-9081.00,Lodging Managers,4,lodging-managers,Y
45-4023,45-4023.00,Log Graders and Scalers,2,log-graders-and-scalers,Y
45-4022,45-4022.00,Logging Equipment Operators,1,logging-equipment-operators,Y
45-4029,45-4029.00,"Logging Workers, All Other",,logging-workers-all-other,
13-1081,13-1081.00,Logisticians,4,logisticians,Y
13-1081,13-1081.02,Logistics Analysts,4,logistics-analysts,Y
13-1081,13-1081.01,Logistics Engineers,4,logistics-engineers,Y
11-9199,11-9199.08,Loss Prevention Managers,4,loss-prevention-managers,Y
29-1122,29-1122.01,"Low Vision Therapists, Orientation and Mobility Specialists, and Vision Rehabilitation Therapists",5,low-vision-therapists-orientation-and-mobility-specialists-and-vision-rehabilitation-therapists,Y
53-7063,53-7063.00,Machine Feeders and Offbearers,2,machine-feeders-and-offbearers,Y
51-4041,51-4041.00,Machinists,3,machinists,Y
29-2035,29-2035.00,Magnetic Resonance Imaging Technologists,3,magnetic-resonance-imaging-technologists,Y
37-2012,37-2012.00,Maids and Housekeeping Cleaners,1,maids-and-housekeeping-cleaners,Y
43-9051,43-9051.00,"Mail Clerks and Mail Machine Operators, Except Postal Service",2,mail-clerks-and-mail-machine-operators-except-postal-service,Y
49-9071,49-9071.00,"Maintenance and Repair Workers, General",3,maintenance-and-repair-workers-general,Y
49-9043,49-9043.00,"Maintenance Workers, Machinery",3,maintenance-workers-machinery,Y
39-5091,39-5091.00,"Makeup Artists, Theatrical and Performance",3,makeup-artists-theatrical-and-performance,Y
13-1111,13-1111.00,Management Analysts,4,management-analysts,Y
11-9199,11-9199.00,"Managers, All Other",,managers-all-other,
39-5092,39-5092.00,Manicurists and Pedicurists,2,manicurists-and-pedicurists,Y
49-9095,49-9095.00,Manufactured Building and Mobile Home Installers,2,manufactured-building-and-mobile-home-installers,Y
17-2112,17-2112.03,Manufacturing Engineers,4,manufacturing-engineers,Y
17-2121,17-2121.00,Marine Engineers and Naval Architects,4,marine-engineers-and-naval-architects,Y
13-1161,13-1161.00,Market Research Analysts and Marketing Specialists,4,market-research-analysts-and-marketing-specialists,Y
11-2021,11-2021.00,Marketing Managers,4,marketing-managers,Y
21-1013,21-1013.00,Marriage and Family Therapists,5,marriage-and-family-therapists,Y
31-9011,31-9011.00,Massage Therapists,3,massage-therapists,Y
53-7199,53-7199.00,"Material Moving Workers, All Other",,material-moving-workers-all-other,
17-2131,17-2131.00,Materials Engineers,4,materials-engineers,Y
19-2032,19-2032.00,Materials Scientists,4,materials-scientists,Y
15-2099,15-2099.00,"Mathematical Science Occupations, All Other",,mathematical-science-occupations-all-other,
25-1022,25-1022.00,"Mathematical Science Teachers, Postsecondary",5,mathematical-science-teachers-postsecondary,Y
15-2021,15-2021.00,Mathematicians,5,mathematicians,Y
51-3022,51-3022.00,"Meat, Poultry, and Fish Cutters and Trimmers",1,meat-poultry-and-fish-cutters-and-trimmers,Y
49-9011,49-9011.00,Mechanical Door Repairers,2,mechanical-door-repairers,Y
17-3013,17-3013.00,Mechanical Drafters,3,mechanical-drafters,Y
17-3027,17-3027.00,Mechanical Engineering Technologists and Technicians,3,mechanical-engineering-technologists-and-technicians,Y
17-2141,17-2141.00,Mechanical Engineers,4,mechanical-engineers,Y
17-2199,17-2199.05,Mechatronics Engineers,4,mechatronics-engineers,Y
27-4099,27-4099.00,"Media and Communication Equipment Workers, All Other",,media-and-communication-equipment-workers-all-other,
27-3099,27-3099.00,"Media and Communication Workers, All Other",,media-and-communication-workers-all-other,
27-2012,27-2012.03,Media Programming Directors,4,media-programming-directors,Y
27-2012,27-2012.05,Media Technical Directors/Managers,4,media-technical-directors-managers,Y
29-2012,29-2012.00,Medical and Clinical Laboratory Technicians,3,medical-and-clinical-laboratory-technicians,Y
29-2011,29-2011.00,Medical and Clinical Laboratory Technologists,4,medical-and-clinical-laboratory-technologists,Y
11-9111,11-9111.00,Medical and Health Services Managers,4,medical-and-health-services-managers,Y
51-9082,51-9082.00,Medical Appliance Technicians,3,medical-appliance-technicians,Y
31-9092,31-9092.00,Medical Assistants,3,medical-assistants,Y
29-2036,29-2036.00,Medical Dosimetrists,4,medical-dosimetrists,Y
31-9093,31-9093.00,Medical Equipment Preparers,2,medical-equipment-preparers,Y
49-9062,49-9062.00,Medical Equipment Repairers,3,medical-equipment-repairers,Y
29-2072,29-2072.00,Medical Records Specialists,3,medical-records-specialists,Y
19-1042,19-1042.00,"Medical Scientists, Except Epidemiologists",5,medical-scientists-except-epidemiologists,Y
43-6013,43-6013.00,Medical Secretaries and Administrative Assistants,2,medical-secretaries-and-administrative-assistants,Y
31-9094,31-9094.00,Medical Transcriptionists,3,medical-transcriptionists,Y
13-1121,13-1121.00,"Meeting, Convention, and Event Planners",4,meeting-convention-and-event-planners,Y
21-1023,21-1023.00,Mental Health and Substance Abuse Social Workers,5,mental-health-and-substance-abuse-social-workers,Y
21-1014,21-1014.00,Mental Health Counselors,5,mental-health-counselors,Y
27-1026,27-1026.00,Merchandise Displayers and Window Trimmers,3,merchandise-displayers-and-window-trimmers,Y
51-4199,51-4199.00,"Metal Workers and Plastic Workers, All Other",,metal-workers-and-plastic-workers-all-other,
51-4051,51-4051.00,Metal-Refining Furnace Operators and Tenders,2,metal-refining-furnace-operators-and-tenders,Y
43-5041,43-5041.00,"Meter Readers, Utilities",2,meter-readers-utilities,Y
19-1022,19-1022.00,Microbiologists,4,microbiologists,Y
17-2199,17-2199.06,Microsystems Engineers,5,microsystems-engineers,Y
25-2022,25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education",4,middle-school-teachers-except-special-and-career-technical-education,Y
29-9099,29-9099.01,Midwives,5,midwives,Y
55-3019,55-3019.00,"Military Enlisted Tactical Operations and Air/Weapons Specialists and Crew Members, All Other",,military-enlisted-tactical-operations-and-air-weapons-specialists-and-crew-members-all-other,
55-1019,55-1019.00,"Military Officer Special and Tactical Operations Leaders, All Other",,military-officer-special-and-tactical-operations-leaders-all-other,
51-4035,51-4035.00,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",2,milling-and-planing-machine-setters-operators-and-tenders-metal-and-plastic,Y
49-9044,49-9044.00,Millwrights,2,millwrights,Y
17-2151,17-2151.00,"Mining and Geological Engineers, Including Mining Safety Engineers",4,mining-and-geological-engineers-including-mining-safety-engineers,Y
51-9023,51-9023.00,"Mixing and Blending Machine Setters, Operators, and Tenders",2,mixing-and-blending-machine-setters-operators-and-tenders,Y
49-3042,49-3042.00,"Mobile Heavy Equipment Mechanics, Except Engines",3,mobile-heavy-equipment-mechanics-except-engines,Y
51-4061,51-4061.00,"Model Makers, Metal and Plastic",3,model-makers-metal-and-plastic,Y
51-7031,51-7031.00,"Model Makers, Wood",3,model-makers-wood,Y
41-9012,41-9012.00,Models,2,models,Y
51-9195,51-9195.00,"Molders, Shapers, and Casters, Except Metal and Plastic",2,molders-shapers-and-casters-except-metal-and-plastic,Y
51-4072,51-4072.00,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",2,molding-coremaking-and-casting-machine-setters-operators-and-tenders-metal-and-plastic,Y
19-1029,19-1029.02,Molecular and Cellular Biologists,5,molecular-and-cellular-biologists,Y
39-4031,39-4031.00,"Morticians, Undertakers, and Funeral Arrangers",3,morticians-undertakers-and-funeral-arrangers,Y
39-3021,39-3021.00,Motion Picture Projectionists,2,motion-picture-projectionists,Y
53-3099,53-3099.00,"Motor Vehicle Operators, All Other",,motor-vehicle-operators-all-other,
49-3051,49-3051.00,Motorboat Mechanics and Service Technicians,3,motorboat-mechanics-and-service-technicians,Y
53-5022,53-5022.00,Motorboat Operators,2,motorboat-operators,Y
49-3052,49-3052.00,Motorcycle Mechanics,3,motorcycle-mechanics,Y
51-4081,51-4081.00,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",2,multiple-machine-tool-setters-operators-and-tenders-metal-and-plastic,Y
25-4013,25-4013.00,Museum Technicians and Conservators,4,museum-technicians-and-conservators,Y
27-2041,27-2041.00,Music Directors and Composers,4,music-directors-and-composers,Y
29-1129,29-1129.02,Music Therapists,4,music-therapists,Y
49-9063,49-9063.00,Musical Instrument Repairers and Tuners,3,musical-instrument-repairers-and-tuners,Y
27-2042,27-2042.00,Musicians and Singers,4,musicians-and-singers,Y
39-9011,39-9011.01,Nannies,2,nannies,Y
17-2199,17-2199.09,Nanosystems Engineers,5,nanosystems-engineers,Y
17-3026,17-3026.01,Nanotechnology Engineering Technologists and Technicians,4,nanotechnology-engineering-technologists-and-technicians,Y
11-9121,11-9121.00,Natural Sciences Managers,5,natural-sciences-managers,Y
29-1299,29-1299.01,Naturopathic Physicians,5,naturopathic-physicians,Y
15-1244,15-1244.00,Network and Computer Systems Administrators,4,network-and-computer-systems-administrators,Y
29-2099,29-2099.01,Neurodiagnostic Technologists,3,neurodiagnostic-technologists,Y
29-1217,29-1217.00,Neurologists,5,neurologists,Y
19-3039,19-3039.02,Neuropsychologists,5,neuropsychologists,Y
43-4141,43-4141.00,New Accounts Clerks,3,new-accounts-clerks,Y
27-3023,27-3023.00,"News Analysts, Reporters, and Journalists",4,news-analysts-reporters-and-journalists,Y
17-3029,17-3029.01,Non-Destructive Testing Specialists,2,non-destructive-testing-specialists,Y
17-2161,17-2161.00,Nuclear Engineers,4,nuclear-engineers,Y
29-2033,29-2033.00,Nuclear Medicine Technologists,3,nuclear-medicine-technologists,Y
19-4051,19-4051.02,Nuclear Monitoring Technicians,3,nuclear-monitoring-technicians,Y
51-8011,51-8011.00,Nuclear Power Reactor Operators,3,nuclear-power-reactor-operators,Y
19-4051,19-4051.00,Nuclear Technicians,3,nuclear-technicians,Y
29-1151,29-1151.00,Nurse Anesthetists,5,nurse-anesthetists,Y
29-1161,29-1161.00,Nurse Midwives,5,nurse-midwives,Y
29-1171,29-1171.00,Nurse Practitioners,5,nurse-practitioners,Y
31-1131,31-1131.00,Nursing Assistants,3,nursing-assistants,Y
25-1072,25-1072.00,"Nursing Instructors and Teachers, Postsecondary",5,nursing-instructors-and-teachers-postsecondary,Y
29-1218,29-1218.00,Obstetricians and Gynecologists,5,obstetricians-and-gynecologists,Y
19-5011,19-5011.00,Occupational Health and Safety Specialists,4,occupational-health-and-safety-specialists,Y
19-5012,19-5012.00,Occupational Health and Safety Technicians,3,occupational-health-and-safety-technicians,Y
29-1122,29-1122.00,Occupational Therapists,5,occupational-therapists,Y
31-2012,31-2012.00,Occupational Therapy Aides,3,occupational-therapy-aides,Y
31-2011,31-2011.00,Occupational Therapy Assistants,3,occupational-therapy-assistants,Y
43-9199,43-9199.00,"Office and Administrative Support Workers, All Other",,office-and-administrative-support-workers-all-other,
43-9061,43-9061.00,"Office Clerks, General",2,office-clerks-general,Y
43-9071,43-9071.00,"Office Machine Operators, Except Computer",2,office-machine-operators-except-computer,Y
13-1199,13-1199.06,Online Merchants,4,online-merchants,Y
47-2073,47-2073.00,Operating Engineers and Other Construction Equipment Operators,2,operating-engineers-and-other-construction-equipment-operators,Y
15-2031,15-2031.00,Operations Research Analysts,5,operations-research-analysts,Y
51-9083,51-9083.00,Ophthalmic Laboratory Technicians,2,ophthalmic-laboratory-technicians,Y
29-2057,29-2057.00,Ophthalmic Medical Technicians,3,ophthalmic-medical-technicians,Y
29-2099,29-2099.05,Ophthalmic Medical Technologists,3,ophthalmic-medical-technologists,Y
29-1241,29-1241.00,"Ophthalmologists, Except Pediatric",5,ophthalmologists-except-pediatric,Y
29-2081,29-2081.00,"Opticians, Dispensing",3,opticians-dispensing,Y
29-1041,29-1041.00,Optometrists,5,optometrists,Y
29-1022,29-1022.00,Oral and Maxillofacial Surgeons,5,oral-and-maxillofacial-surgeons,Y
43-4151,43-4151.00,Order Clerks,2,order-clerks,Y
31-1132,31-1132.00,Orderlies,2,orderlies,Y
29-1023,29-1023.00,Orthodontists,5,orthodontists,Y
29-1242,29-1242.00,"Orthopedic Surgeons, Except Pediatric",5,orthopedic-surgeons-except-pediatric,Y
29-1299,29-1299.02,Orthoptists,5,orthoptists,Y
29-2091,29-2091.00,Orthotists and Prosthetists,5,orthotists-and-prosthetists,Y
49-3053,49-3053.00,Outdoor Power Equipment and Other Small Engine Mechanics,2,outdoor-power-equipment-and-other-small-engine-mechanics,Y
51-9111,51-9111.00,Packaging and Filling Machine Operators and Tenders,2,packaging-and-filling-machine-operators-and-tenders,Y
53-7064,53-7064.00,"Packers and Packagers, Hand",2,packers-and-packagers-hand,Y
47-2141,47-2141.00,"Painters, Construction and Maintenance",2,painters-construction-and-maintenance,Y
51-9123,51-9123.00,"Painting, Coating, and Decorating Workers",1,painting-coating-and-decorating-workers,Y
51-9196,51-9196.00,"Paper Goods Machine Setters, Operators, and Tenders",2,paper-goods-machine-setters-operators-and-tenders,Y
47-2142,47-2142.00,Paperhangers,2,paperhangers,Y
23-2011,23-2011.00,Paralegals and Legal Assistants,3,paralegals-and-legal-assistants,Y
29-2043,29-2043.00,Paramedics,3,paramedics,Y
19-1031,19-1031.03,Park Naturalists,4,park-naturalists,Y
53-6021,53-6021.00,Parking Attendants,2,parking-attendants,Y
33-3041,33-3041.00,Parking Enforcement Workers,2,parking-enforcement-workers,Y
41-2022,41-2022.00,Parts Salespersons,2,parts-salespersons,Y
53-6061,53-6061.00,Passenger Attendants,2,passenger-attendants,Y
29-2099,29-2099.08,Patient Representatives,3,patient-representatives,Y
51-4062,51-4062.00,"Patternmakers, Metal and Plastic",3,patternmakers-metal-and-plastic,Y
51-7032,51-7032.00,"Patternmakers, Wood",3,patternmakers-wood,Y
47-2071,47-2071.00,"Paving, Surfacing, and Tamping Equipment Operators",2,paving-surfacing-and-tamping-equipment-operators,Y
43-3051,43-3051.00,Payroll and Timekeeping Clerks,3,payroll-and-timekeeping-clerks,Y
29-1243,29-1243.00,Pediatric Surgeons,5,pediatric-surgeons,Y
29-1221,29-1221.00,"Pediatricians, General",5,pediatricians-general,Y
15-1299,15-1299.04,Penetration Testers,4,penetration-testers,Y
31-1122,31-1122.00,Personal Care Aides,2,personal-care-aides,Y
39-9099,39-9099.00,"Personal Care and Service Workers, All Other",,personal-care-and-service-workers-all-other,
13-2052,13-2052.00,Personal Financial Advisors,4,personal-financial-advisors,Y
11-9179,11-9179.00,"Personal Service Managers, All Other",,personal-service-managers-all-other,
37-2021,37-2021.00,Pest Control Workers,2,pest-control-workers,Y
37-3012,37-3012.00,"Pesticide Handlers, Sprayers, and Applicators, Vegetation",2,pesticide-handlers-sprayers-and-applicators-vegetation,Y
17-2171,17-2171.00,Petroleum Engineers,4,petroleum-engineers,Y
51-8093,51-8093.00,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",2,petroleum-pump-system-operators-refinery-operators-and-gaugers,Y
29-1051,29-1051.00,Pharmacists,5,pharmacists,Y
31-9095,31-9095.00,Pharmacy Aides,2,pharmacy-aides,Y
29-2052,29-2052.00,Pharmacy Technicians,3,pharmacy-technicians,Y
25-1126,25-1126.00,"Philosophy and Religion Teachers, Postsecondary",5,philosophy-and-religion-teachers-postsecondary,Y
31-9097,31-9097.00,Phlebotomists,3,phlebotomists,Y
27-4021,27-4021.00,Photographers,3,photographers,Y
51-9151,51-9151.00,Photographic Process Workers and Processing Machine Operators,2,photographic-process-workers-and-processing-machine-operators,Y
17-2199,17-2199.07,Photonics Engineers,4,photonics-engineers,Y
17-3029,17-3029.08,Photonics Technicians,3,photonics-technicians,Y
29-1229,29-1229.04,Physical Medicine and Rehabilitation Physicians,5,physical-medicine-and-rehabilitation-physicians,Y
19-2099,19-2099.00,"Physical Scientists, All Other",,physical-scientists-all-other,
31-2022,31-2022.00,Physical Therapist Aides,2,physical-therapist-aides,Y
31-2021,31-2021.00,Physical Therapist Assistants,3,physical-therapist-assistants,Y
29-1123,29-1123.00,Physical Therapists,5,physical-therapists,Y
29-1071,29-1071.00,Physician Assistants,5,physician-assistants,Y
29-1229,29-1229.00,"Physicians, All Other",,physicians-all-other,
29-1222,29-1222.00,"Physicians, Pathologists",5,physicians-pathologists,Y
19-2012,19-2012.00,Physicists,5,physicists,Y
25-1054,25-1054.00,"Physics Teachers, Postsecondary",5,physics-teachers-postsecondary,Y
47-2072,47-2072.00,Pile Driver Operators,2,pile-driver-operators,Y
47-2151,47-2151.00,Pipelayers,1,pipelayers,Y
51-8099,51-8099.00,"Plant and System Operators, All Other",,plant-and-system-operators-all-other,
47-2161,47-2161.00,Plasterers and Stucco Masons,1,plasterers-and-stucco-masons,Y
51-4193,51-4193.00,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",2,plating-machine-setters-operators-and-tenders-metal-and-plastic,Y
47-2152,47-2152.00,"Plumbers, Pipefitters, and Steamfitters",3,plumbers-pipefitters-and-steamfitters,Y
29-1081,29-1081.00,Podiatrists,5,podiatrists,Y
27-3043,27-3043.05,"Poets, Lyricists and Creative Writers",4,poets-lyricists-and-creative-writers,Y
33-3051,33-3051.00,Police and Sheriff's Patrol Officers,3,police-and-sheriff-s-patrol-officers,Y
33-3021,33-3021.02,Police Identification and Records Officers,3,police-identification-and-records-officers,Y
25-1065,25-1065.00,"Political Science Teachers, Postsecondary",5,political-science-teachers-postsecondary,Y
19-3094,19-3094.00,Political Scientists,5,political-scientists,Y
