soc_code,soc_code_long,occupation,job_zone,slug,Data-level
43-5051,43-5051.00,Postal Service Clerks,2,postal-service-clerks,Y
43-5052,43-5052.00,Postal Service Mail Carriers,2,postal-service-mail-carriers,Y
43-5053,43-5053.00,"Postal Service Mail Sorters, Processors, and Processing Machine Operators",2,postal-service-mail-sorters-processors-and-processing-machine-operators,Y
11-9131,11-9131.00,Postmasters and Mail Superintendents,2,postmasters-and-mail-superintendents,Y
25-1199,25-1199.00,"Postsecondary Teachers, All Other",,postsecondary-teachers-all-other,
51-9195,51-9195.05,"Potters, Manufacturing",3,potters-manufacturing,Y
51-4052,51-4052.00,"Pourers and Casters, Metal",2,pourers-and-casters-metal,Y
51-8012,51-8012.00,Power Distributors and Dispatchers,3,power-distributors-and-dispatchers,Y
51-8013,51-8013.00,Power Plant Operators,2,power-plant-operators,Y
19-4012,19-4012.01,Precision Agriculture Technicians,3,precision-agriculture-technicians,Y
49-9069,49-9069.00,"Precision Instrument and Equipment Repairers, All Other",,precision-instrument-and-equipment-repairers-all-other,
51-5111,51-5111.00,Prepress Technicians and Workers,3,prepress-technicians-and-workers,Y
25-2011,25-2011.00,"Preschool Teachers, Except Special Education",3,preschool-teachers-except-special-education,Y
51-6021,51-6021.00,"Pressers, Textile, Garment, and Related Materials",1,pressers-textile-garment-and-related-materials,Y
29-1229,29-1229.05,Preventive Medicine Physicians,5,preventive-medicine-physicians,Y
51-5113,51-5113.00,Print Binding and Finishing Workers,2,print-binding-and-finishing-workers,Y
51-5112,51-5112.00,Printing Press Operators,2,printing-press-operators,Y
33-9021,33-9021.00,Private Detectives and Investigators,3,private-detectives-and-investigators,Y
21-1092,21-1092.00,Probation Officers and Correctional Treatment Specialists,4,probation-officers-and-correctional-treatment-specialists,Y
43-3061,43-3061.00,Procurement Clerks,2,procurement-clerks,Y
27-2012,27-2012.00,Producers and Directors,4,producers-and-directors,Y
51-9199,51-9199.00,"Production Workers, All Other",,production-workers-all-other,
43-5061,43-5061.00,"Production, Planning, and Expediting Clerks",2,production-planning-and-expediting-clerks,Y
13-1082,13-1082.00,Project Management Specialists,4,project-management-specialists,Y
43-9081,43-9081.00,Proofreaders and Copy Markers,4,proofreaders-and-copy-markers,Y
11-9141,11-9141.00,"Property, Real Estate, and Community Association Managers",4,property-real-estate-and-community-association-managers,Y
29-1024,29-1024.00,Prosthodontists,5,prosthodontists,Y
33-9099,33-9099.00,"Protective Service Workers, All Other",,protective-service-workers-all-other,
31-1133,31-1133.00,Psychiatric Aides,2,psychiatric-aides,Y
29-2053,29-2053.00,Psychiatric Technicians,3,psychiatric-technicians,Y
29-1223,29-1223.00,Psychiatrists,5,psychiatrists,Y
19-3039,19-3039.00,"Psychologists, All Other",,psychologists-all-other,
25-1066,25-1066.00,"Psychology Teachers, Postsecondary",5,psychology-teachers-postsecondary,Y
11-2032,11-2032.00,Public Relations Managers,4,public-relations-managers,Y
27-3031,27-3031.00,Public Relations Specialists,4,public-relations-specialists,Y
43-5031,43-5031.00,Public Safety Telecommunicators,2,public-safety-telecommunicators,Y
53-7072,53-7072.00,"Pump Operators, Except Wellhead Pumpers",2,pump-operators-except-wellhead-pumpers,Y
13-1023,13-1023.00,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",4,purchasing-agents-except-wholesale-retail-and-farm-products,Y
11-3061,11-3061.00,Purchasing Managers,4,purchasing-managers,Y
19-4099,19-4099.01,Quality Control Analysts,3,quality-control-analysts,Y
11-3051,11-3051.01,Quality Control Systems Managers,4,quality-control-systems-managers,Y
29-1124,29-1124.00,Radiation Therapists,3,radiation-therapists,Y
17-2072,17-2072.01,Radio Frequency Identification Device Specialists,4,radio-frequency-identification-device-specialists,Y
49-2021,49-2021.00,"Radio, Cellular, and Tower Equipment Installers and Repairers",3,radio-cellular-and-tower-equipment-installers-and-repairers,Y
29-2034,29-2034.00,Radiologic Technologists and Technicians,3,radiologic-technologists-and-technicians,Y
29-1224,29-1224.00,Radiologists,5,radiologists,Y
49-3043,49-3043.00,Rail Car Repairers,2,rail-car-repairers,Y
53-4099,53-4099.00,"Rail Transportation Workers, All Other",,rail-transportation-workers-all-other,
53-4013,53-4013.00,"Rail Yard Engineers, Dinkey Operators, and Hostlers",2,rail-yard-engineers-dinkey-operators-and-hostlers,Y
47-4061,47-4061.00,Rail-Track Laying and Maintenance Equipment Operators,2,rail-track-laying-and-maintenance-equipment-operators,Y
53-4022,53-4022.00,"Railroad Brake, Signal, and Switch Operators and Locomotive Firers",2,railroad-brake-signal-and-switch-operators-and-locomotive-firers,Y
53-4031,53-4031.00,Railroad Conductors and Yardmasters,2,railroad-conductors-and-yardmasters,Y
19-1031,19-1031.02,Range Managers,4,range-managers,Y
41-9021,41-9021.00,Real Estate Brokers,4,real-estate-brokers,Y
41-9022,41-9022.00,Real Estate Sales Agents,3,real-estate-sales-agents,Y
43-4171,43-4171.00,Receptionists and Information Clerks,2,receptionists-and-information-clerks,Y
25-1193,25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary",5,recreation-and-fitness-studies-teachers-postsecondary,Y
39-9032,39-9032.00,Recreation Workers,4,recreation-workers,Y
29-1125,29-1125.00,Recreational Therapists,4,recreational-therapists,Y
49-3092,49-3092.00,Recreational Vehicle Service Technicians,2,recreational-vehicle-service-technicians,Y
53-7062,53-7062.04,Recycling and Reclamation Workers,2,recycling-and-reclamation-workers,Y
53-1042,53-1042.01,Recycling Coordinators,2,recycling-coordinators,Y
49-9045,49-9045.00,"Refractory Materials Repairers, Except Brickmasons",2,refractory-materials-repairers-except-brickmasons,Y
53-7081,53-7081.00,Refuse and Recyclable Material Collectors,2,refuse-and-recyclable-material-collectors,Y
29-1141,29-1141.00,Registered Nurses,4,registered-nurses,Y
11-9199,11-9199.01,Regulatory Affairs Managers,4,regulatory-affairs-managers,Y
13-1041,13-1041.07,Regulatory Affairs Specialists,4,regulatory-affairs-specialists,Y
21-1015,21-1015.00,Rehabilitation Counselors,4,rehabilitation-counselors,Y
47-2171,47-2171.00,Reinforcing Iron and Rebar Workers,2,reinforcing-iron-and-rebar-workers,Y
21-2099,21-2099.00,"Religious Workers, All Other",,religious-workers-all-other,
19-2099,19-2099.01,Remote Sensing Scientists and Technologists,4,remote-sensing-scientists-and-technologists,Y
19-4099,19-4099.03,Remote Sensing Technicians,4,remote-sensing-technicians,Y
43-4181,43-4181.00,Reservation and Transportation Ticket Agents and Travel Clerks,2,reservation-and-transportation-ticket-agents-and-travel-clerks,Y
39-9041,39-9041.00,Residential Advisors,3,residential-advisors,Y
29-1126,29-1126.00,Respiratory Therapists,3,respiratory-therapists,Y
33-9099,33-9099.02,Retail Loss Prevention Specialists,2,retail-loss-prevention-specialists,Y
41-2031,41-2031.00,Retail Salespersons,2,retail-salespersons,Y
49-9096,49-9096.00,Riggers,2,riggers,Y
17-2199,17-2199.08,Robotics Engineers,4,robotics-engineers,Y
17-3024,17-3024.01,Robotics Technicians,3,robotics-technicians,Y
47-5051,47-5051.00,"Rock Splitters, Quarry",1,rock-splitters-quarry,Y
51-4023,51-4023.00,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",2,rolling-machine-setters-operators-and-tenders-metal-and-plastic,Y
47-5043,47-5043.00,"Roof Bolters, Mining",2,roof-bolters-mining,Y
47-2181,47-2181.00,Roofers,2,roofers,Y
47-5012,47-5012.00,"Rotary Drill Operators, Oil and Gas",2,rotary-drill-operators-oil-and-gas,Y
47-5071,47-5071.00,"Roustabouts, Oil and Gas",1,roustabouts-oil-and-gas,Y
53-5011,53-5011.00,Sailors and Marine Oilers,2,sailors-and-marine-oilers,Y
41-9099,41-9099.00,"Sales and Related Workers, All Other",,sales-and-related-workers-all-other,
41-9031,41-9031.00,Sales Engineers,4,sales-engineers,Y
11-2022,11-2022.00,Sales Managers,4,sales-managers,Y
41-3091,41-3091.00,"Sales Representatives of Services, Except Advertising, Insurance, Financial Services, and Travel",2,sales-representatives-of-services-except-advertising-insurance-financial-services-and-travel,Y
41-4012,41-4012.00,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",4,sales-representatives-wholesale-and-manufacturing-except-technical-and-scientific-products,Y
41-4011,41-4011.00,"Sales Representatives, Wholesale and Manufacturing, Technical and Scientific Products",4,sales-representatives-wholesale-and-manufacturing-technical-and-scientific-products,Y
51-7041,51-7041.00,"Sawing Machine Setters, Operators, and Tenders, Wood",2,sawing-machine-setters-operators-and-tenders-wood,Y
33-9094,33-9094.00,School Bus Monitors,2,school-bus-monitors,Y
19-3034,19-3034.00,School Psychologists,5,school-psychologists,Y
13-1161,13-1161.01,Search Marketing Strategists,4,search-marketing-strategists,Y
25-2031,25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education",4,secondary-school-teachers-except-special-and-career-technical-education,Y
43-6014,43-6014.00,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",2,secretaries-and-administrative-assistants-except-legal-medical-and-executive,Y
41-3031,41-3031.00,"Securities, Commodities, and Financial Services Sales Agents",4,securities-commodities-and-financial-services-sales-agents,Y
49-2098,49-2098.00,Security and Fire Alarm Systems Installers,3,security-and-fire-alarm-systems-installers,Y
33-9032,33-9032.00,Security Guards,2,security-guards,Y
13-1199,13-1199.07,Security Management Specialists,4,security-management-specialists,Y
11-3013,11-3013.01,Security Managers,4,security-managers,Y
47-4091,47-4091.00,Segmental Pavers,2,segmental-pavers,Y
25-3021,25-3021.00,Self-Enrichment Teachers,3,self-enrichment-teachers,Y
51-9141,51-9141.00,Semiconductor Processing Technicians,2,semiconductor-processing-technicians,Y
51-9012,51-9012.00,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",2,separating-filtering-clarifying-precipitating-and-still-machine-setters-operators-and-tenders,Y
47-4071,47-4071.00,Septic Tank Servicers and Sewer Pipe Cleaners,1,septic-tank-servicers-and-sewer-pipe-cleaners,Y
47-5013,47-5013.00,"Service Unit Operators, Oil and Gas",2,service-unit-operators-oil-and-gas,Y
27-1027,27-1027.00,Set and Exhibit Designers,5,set-and-exhibit-designers,Y
51-6051,51-6051.00,"Sewers, Hand",1,sewers-hand,Y
51-6031,51-6031.00,Sewing Machine Operators,1,sewing-machine-operators,Y
39-5093,39-5093.00,Shampooers,2,shampooers,Y
47-2211,47-2211.00,Sheet Metal Workers,2,sheet-metal-workers,Y
53-5031,53-5031.00,Ship Engineers,3,ship-engineers,Y
43-5071,43-5071.00,"Shipping, Receiving, and Inventory Clerks",2,shipping-receiving-and-inventory-clerks,Y
51-6041,51-6041.00,Shoe and Leather Workers and Repairers,2,shoe-and-leather-workers-and-repairers,Y
51-6042,51-6042.00,Shoe Machine Operators and Tenders,2,shoe-machine-operators-and-tenders,Y
53-3053,53-3053.00,Shuttle Drivers and Chauffeurs,2,shuttle-drivers-and-chauffeurs,Y
49-9097,49-9097.00,Signal and Track Switch Repairers,3,signal-and-track-switch-repairers,Y
39-5094,39-5094.00,Skincare Specialists,3,skincare-specialists,Y
51-3023,51-3023.00,Slaughterers and Meat Packers,2,slaughterers-and-meat-packers,Y
11-9151,11-9151.00,Social and Community Service Managers,4,social-and-community-service-managers,Y
21-1093,21-1093.00,Social and Human Service Assistants,4,social-and-human-service-assistants,Y
19-4061,19-4061.00,Social Science Research Assistants,4,social-science-research-assistants,Y
25-1069,25-1069.00,"Social Sciences Teachers, Postsecondary, All Other",,social-sciences-teachers-postsecondary-all-other,
19-3099,19-3099.00,"Social Scientists and Related Workers, All Other",,social-scientists-and-related-workers-all-other,
25-1113,25-1113.00,"Social Work Teachers, Postsecondary",5,social-work-teachers-postsecondary,Y
21-1029,21-1029.00,"Social Workers, All Other",,social-workers-all-other,
19-3041,19-3041.00,Sociologists,5,sociologists,Y
25-1067,25-1067.00,"Sociology Teachers, Postsecondary",5,sociology-teachers-postsecondary,Y
15-1252,15-1252.00,Software Developers,4,software-developers,Y
15-1253,15-1253.00,Software Quality Assurance Analysts and Testers,4,software-quality-assurance-analysts-and-testers,Y
19-1013,19-1013.00,Soil and Plant Scientists,5,soil-and-plant-scientists,Y
47-1011,47-1011.03,Solar Energy Installation Managers,3,solar-energy-installation-managers,Y
17-2199,17-2199.11,Solar Energy Systems Engineers,4,solar-energy-systems-engineers,Y
47-2231,47-2231.00,Solar Photovoltaic Installers,2,solar-photovoltaic-installers,Y
41-4011,41-4011.07,Solar Sales Representatives and Assessors,3,solar-sales-representatives-and-assessors,Y
47-2152,47-2152.04,Solar Thermal Installers and Technicians,3,solar-thermal-installers-and-technicians,Y
27-4014,27-4014.00,Sound Engineering Technicians,3,sound-engineering-technicians,Y
11-9179,11-9179.02,Spa Managers,3,spa-managers,Y
25-2059,25-2059.00,"Special Education Teachers, All Other",,special-education-teachers-all-other,
25-2056,25-2056.00,"Special Education Teachers, Elementary School",4,special-education-teachers-elementary-school,Y
25-2055,25-2055.00,"Special Education Teachers, Kindergarten",4,special-education-teachers-kindergarten,Y
25-2057,25-2057.00,"Special Education Teachers, Middle School",4,special-education-teachers-middle-school,Y
25-2051,25-2051.00,"Special Education Teachers, Preschool",5,special-education-teachers-preschool,Y
25-2058,25-2058.00,"Special Education Teachers, Secondary School",4,special-education-teachers-secondary-school,Y
27-1014,27-1014.00,Special Effects Artists and Animators,4,special-effects-artists-and-animators,Y
55-3018,55-3018.00,Special Forces,,special-forces,
55-1017,55-1017.00,Special Forces Officers,,special-forces-officers,
29-1127,29-1127.00,Speech-Language Pathologists,5,speech-language-pathologists,Y
31-9099,31-9099.01,Speech-Language Pathology Assistants,3,speech-language-pathology-assistants,Y
29-1229,29-1229.06,Sports Medicine Physicians,5,sports-medicine-physicians,Y
51-8021,51-8021.00,Stationary Engineers and Boiler Operators,3,stationary-engineers-and-boiler-operators,Y
43-9111,43-9111.00,Statistical Assistants,4,statistical-assistants,Y
15-2041,15-2041.00,Statisticians,5,statisticians,Y
53-7065,53-7065.00,Stockers and Order Fillers,2,stockers-and-order-fillers,Y
51-9195,51-9195.03,"Stone Cutters and Carvers, Manufacturing",2,stone-cutters-and-carvers-manufacturing,Y
47-2022,47-2022.00,Stonemasons,2,stonemasons,Y
47-2221,47-2221.00,Structural Iron and Steel Workers,2,structural-iron-and-steel-workers,Y
51-2041,51-2041.00,Structural Metal Fabricators and Fitters,2,structural-metal-fabricators-and-fitters,Y
21-1011,21-1011.00,Substance Abuse and Behavioral Disorder Counselors,5,substance-abuse-and-behavioral-disorder-counselors,Y
25-3031,25-3031.00,"Substitute Teachers, Short-Term",4,substitute-teachers-short-term,Y
53-4041,53-4041.00,Subway and Streetcar Operators,2,subway-and-streetcar-operators,Y
11-3071,11-3071.04,Supply Chain Managers,4,supply-chain-managers,Y
29-1249,29-1249.00,"Surgeons, All Other",,surgeons-all-other,
29-9093,29-9093.00,Surgical Assistants,3,surgical-assistants,Y
29-2055,29-2055.00,Surgical Technologists,3,surgical-technologists,Y
19-3022,19-3022.00,Survey Researchers,5,survey-researchers,Y
17-3031,17-3031.00,Surveying and Mapping Technicians,3,surveying-and-mapping-technicians,Y
17-1022,17-1022.00,Surveyors,4,surveyors,Y
13-1199,13-1199.05,Sustainability Specialists,4,sustainability-specialists,Y
43-2011,43-2011.00,"Switchboard Operators, Including Answering Service",2,switchboard-operators-including-answering-service,Y
51-6052,51-6052.00,"Tailors, Dressmakers, and Custom Sewers",2,tailors-dressmakers-and-custom-sewers,Y
27-2012,27-2012.04,Talent Directors,4,talent-directors,Y
53-7121,53-7121.00,"Tank Car, Truck, and Ship Loaders",2,tank-car-truck-and-ship-loaders,Y
47-2082,47-2082.00,Tapers,2,tapers,Y
13-2081,13-2081.00,"Tax Examiners and Collectors, and Revenue Agents",3,tax-examiners-and-collectors-and-revenue-agents,Y
13-2082,13-2082.00,Tax Preparers,3,tax-preparers,Y
53-3054,53-3054.00,Taxi Drivers,2,taxi-drivers,Y
25-3099,25-3099.00,"Teachers and Instructors, All Other",,teachers-and-instructors-all-other,
25-9049,25-9049.00,"Teaching Assistants, All Other",,teaching-assistants-all-other,
25-9044,25-9044.00,"Teaching Assistants, Postsecondary",5,teaching-assistants-postsecondary,Y
25-9042,25-9042.00,"Teaching Assistants, Preschool, Elementary, Middle, and Secondary School, Except Special Education",3,teaching-assistants-preschool-elementary-middle-and-secondary-school-except-special-education,Y
25-9043,25-9043.00,"Teaching Assistants, Special Education",3,teaching-assistants-special-education,Y
51-2092,51-2092.00,Team Assemblers,2,team-assemblers,Y
27-3042,27-3042.00,Technical Writers,4,technical-writers,Y
15-1241,15-1241.01,Telecommunications Engineering Specialists,3,telecommunications-engineering-specialists,Y
49-2022,49-2022.00,"Telecommunications Equipment Installers and Repairers, Except Line Installers",3,telecommunications-equipment-installers-and-repairers-except-line-installers,Y
49-9052,49-9052.00,Telecommunications Line Installers and Repairers,2,telecommunications-line-installers-and-repairers,Y
41-9041,41-9041.00,Telemarketers,2,telemarketers,Y
43-2021,43-2021.00,Telephone Operators,2,telephone-operators,Y
43-3071,43-3071.00,Tellers,2,tellers,Y
47-2053,47-2053.00,Terrazzo Workers and Finishers,2,terrazzo-workers-and-finishers,Y
51-6061,51-6061.00,Textile Bleaching and Dyeing Machine Operators and Tenders,2,textile-bleaching-and-dyeing-machine-operators-and-tenders,Y
51-6062,51-6062.00,"Textile Cutting Machine Setters, Operators, and Tenders",2,textile-cutting-machine-setters-operators-and-tenders,Y
51-6063,51-6063.00,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",2,textile-knitting-and-weaving-machine-setters-operators-and-tenders,Y
51-6064,51-6064.00,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",2,textile-winding-twisting-and-drawing-out-machine-setters-operators-and-tenders,Y
51-6099,51-6099.00,"Textile, Apparel, and Furnishings Workers, All Other",,textile-apparel-and-furnishings-workers-all-other,
29-1129,29-1129.00,"Therapists, All Other",,therapists-all-other,
47-2044,47-2044.00,Tile and Stone Setters,2,tile-and-stone-setters,Y
51-2061,51-2061.00,Timing Device Assemblers and Adjusters,2,timing-device-assemblers-and-adjusters,Y
51-9197,51-9197.00,Tire Builders,2,tire-builders,Y
49-3093,49-3093.00,Tire Repairers and Changers,2,tire-repairers-and-changers,Y
23-2093,23-2093.00,"Title Examiners, Abstractors, and Searchers",2,title-examiners-abstractors-and-searchers,Y
51-4111,51-4111.00,Tool and Die Makers,3,tool-and-die-makers,Y
51-4194,51-4194.00,"Tool Grinders, Filers, and Sharpeners",2,tool-grinders-filers-and-sharpeners,Y
39-7011,39-7011.00,Tour Guides and Escorts,3,tour-guides-and-escorts,Y
53-6041,53-6041.00,Traffic Technicians,3,traffic-technicians,Y
11-3131,11-3131.00,Training and Development Managers,4,training-and-development-managers,Y
13-1151,13-1151.00,Training and Development Specialists,4,training-and-development-specialists,Y
33-3052,33-3052.00,Transit and Railroad Police,3,transit-and-railroad-police,Y
17-2051,17-2051.01,Transportation Engineers,4,transportation-engineers,Y
53-6051,53-6051.00,Transportation Inspectors,4,transportation-inspectors,Y
19-3099,19-3099.01,Transportation Planners,4,transportation-planners,Y
33-9093,33-9093.00,Transportation Security Screeners,2,transportation-security-screeners,Y
53-6051,53-6051.07,"Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation",2,transportation-vehicle-equipment-and-systems-inspectors-except-aviation,Y
53-6099,53-6099.00,"Transportation Workers, All Other",,transportation-workers-all-other,
11-3071,11-3071.00,"Transportation, Storage, and Distribution Managers",4,transportation-storage-and-distribution-managers,Y
41-3041,41-3041.00,Travel Agents,3,travel-agents,Y
39-7012,39-7012.00,Travel Guides,2,travel-guides,Y
11-3031,11-3031.01,Treasurers and Controllers,4,treasurers-and-controllers,Y
37-3013,37-3013.00,Tree Trimmers and Pruners,2,tree-trimmers-and-pruners,Y
25-3041,25-3041.00,Tutors,3,tutors,Y
27-2023,27-2023.00,"Umpires, Referees, and Other Sports Officials",2,umpires-referees-and-other-sports-officials,Y
47-5049,47-5049.00,"Underground Mining Machine Operators, All Other",,underground-mining-machine-operators-all-other,
51-6093,51-6093.00,Upholsterers,2,upholsterers,Y
19-3051,19-3051.00,Urban and Regional Planners,5,urban-and-regional-planners,Y
29-1229,29-1229.03,Urologists,5,urologists,Y
39-3031,39-3031.00,"Ushers, Lobby Attendants, and Ticket Takers",2,ushers-lobby-attendants-and-ticket-takers,Y
17-2112,17-2112.02,Validation Engineers,4,validation-engineers,Y
29-1131,29-1131.00,Veterinarians,5,veterinarians,Y
31-9096,31-9096.00,Veterinary Assistants and Laboratory Animal Caretakers,2,veterinary-assistants-and-laboratory-animal-caretakers,Y
29-2056,29-2056.00,Veterinary Technologists and Technicians,3,veterinary-technologists-and-technicians,Y
15-1255,15-1255.01,Video Game Designers,4,video-game-designers,Y
35-3031,35-3031.00,Waiters and Waitresses,2,waiters-and-waitresses,Y
49-9064,49-9064.00,Watch and Clock Repairers,3,watch-and-clock-repairers,Y
51-8031,51-8031.00,Water and Wastewater Treatment Plant and System Operators,2,water-and-wastewater-treatment-plant-and-system-operators,Y
11-9121,11-9121.02,Water Resource Specialists,4,water-resource-specialists,Y
17-2051,17-2051.02,Water/Wastewater Engineers,4,water-wastewater-engineers,Y
47-4099,47-4099.03,Weatherization Installers and Technicians,2,weatherization-installers-and-technicians,Y
15-1299,15-1299.01,Web Administrators,4,web-administrators,Y
15-1255,15-1255.00,Web and Digital Interface Designers,4,web-and-digital-interface-designers,Y
15-1254,15-1254.00,Web Developers,3,web-developers,Y
43-5111,43-5111.00,"Weighers, Measurers, Checkers, and Samplers, Recordkeeping",2,weighers-measurers-checkers-and-samplers-recordkeeping,Y
51-4121,51-4121.00,"Welders, Cutters, Solderers, and Brazers",2,welders-cutters-solderers-and-brazers,Y
51-4122,51-4122.00,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",2,welding-soldering-and-brazing-machine-setters-operators-and-tenders,Y
53-7073,53-7073.00,Wellhead Pumpers,2,wellhead-pumpers,Y
13-1022,13-1022.00,"Wholesale and Retail Buyers, Except Farm Products",3,wholesale-and-retail-buyers-except-farm-products,Y
11-9199,11-9199.10,Wind Energy Development Managers,4,wind-energy-development-managers,Y
17-2199,17-2199.10,Wind Energy Engineers,4,wind-energy-engineers,Y
11-9199,11-9199.09,Wind Energy Operations Managers,3,wind-energy-operations-managers,Y
49-9081,49-9081.00,Wind Turbine Service Technicians,3,wind-turbine-service-technicians,Y
51-7099,51-7099.00,"Woodworkers, All Other",,woodworkers-all-other,
51-7042,51-7042.00,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",2,woodworking-machine-setters-operators-and-tenders-except-sawing,Y
43-9022,43-9022.00,Word Processors and Typists,2,word-processors-and-typists,Y
27-3043,27-3043.00,Writers and Authors,4,writers-and-authors,Y
19-1023,19-1023.00,Zoologists and Wildlife Biologists,4,zoologists-and-wildlife-biologists,Y
